,Fold,k,sigma,epsilon,Error
0,0,4,4,,12803.860335946432
1,0,4,5,,12887.144547375365
2,0,4,6,,13018.754343202543
3,0,4,7,,13204.663171527722
4,0,4,8,,13438.168680747112
5,0,4,9,,13706.655939761682
6,0,4,10,,13996.555919629607
7,0,4,11,,14295.94713558321
8,0,4,12,,14595.49072557254
9,0,4,13,,14888.453593823127
10,0,5,4,,12825.31611708895
11,0,5,5,,12925.11480703072
12,0,5,6,,13069.841554431225
13,0,5,7,,13266.777934224445
14,0,5,8,,13510.484477338248
15,0,5,9,,13789.303271711022
16,0,5,10,,14090.197123896414
17,0,5,11,,14401.368460764756
18,0,5,12,,14713.303605776477
19,0,5,13,,15018.931078689278
20,0,6,4,,12900.26860825254
21,0,6,5,,13017.440252024864
22,0,6,6,,13174.514047153594
23,0,6,7,,13381.364117072995
24,0,6,8,,13634.895265147665
25,0,6,9,,13925.470415648912
26,0,6,10,,14241.562996141956
27,0,6,11,,14572.255728130816
28,0,6,12,,14908.304463130977
29,0,6,13,,15242.420291966137
30,0,7,4,,13002.271612841592
31,0,7,5,,13143.234713722271
32,0,7,6,,13318.155112056338
33,0,7,7,,13539.084916931544
34,0,7,8,,13805.171671068074
35,0,7,9,,14108.998878494036
36,0,7,10,,14441.022034342106
37,0,7,11,,14791.836665565885
38,0,7,12,,15153.119706144216
39,0,7,13,,15517.919970679965
40,0,8,4,,13100.791615143831
41,0,8,5,,13264.64460745234
42,0,8,6,,13457.119974775476
43,0,8,7,,13692.214652689316
44,0,8,8,,13971.06125268543
45,0,8,9,,14288.1976296109
46,0,8,10,,14635.808222001502
47,0,8,11,,15005.782350935737
48,0,8,12,,15390.545757809025
49,0,8,13,,15783.36297397806
50,1,4,4,,12903.283372221842
51,1,4,5,,12983.533500070907
52,1,4,6,,13112.50813064546
53,1,4,7,,13296.232626393416
54,1,4,8,,13527.954905103365
55,1,4,9,,13794.997899601209
56,1,4,10,,14083.736495830715
57,1,4,11,,14382.201243921618
58,1,4,12,,14681.012388183852
59,1,4,13,,14973.401855693268
60,1,5,4,,12913.118316467717
61,1,5,5,,13007.11956465484
62,1,5,6,,13147.387701907051
63,1,5,7,,13340.9061202408
64,1,5,8,,13581.984883079223
65,1,5,9,,13858.78775691421
66,1,5,10,,14158.1504042471
67,1,5,11,,14468.18019617531
68,1,5,12,,14779.288545696138
69,1,5,13,,15084.342596089662
70,1,6,4,,12984.426463531874
71,1,6,5,,13096.870769660904
72,1,6,6,,13250.385637155645
73,1,6,7,,13454.196535319885
74,1,6,8,,13704.408418957812
75,1,6,9,,13990.540812575604
76,1,6,10,,14300.307906972504
77,1,6,11,,14622.224917646867
78,1,6,12,,14946.722790652897
79,1,6,13,,15266.425288064549
80,1,7,4,,13078.962857380437
81,1,7,5,,13217.23499056253
82,1,7,6,,13391.149711383576
83,1,7,7,,13612.017452210923
84,1,7,8,,13878.193234276583
85,1,7,9,,
86,1,7,10,,
87,1,7,11,,
88,1,7,12,,
89,1,7,13,,
90,1,8,4,,
91,1,8,5,,
92,1,8,6,,
93,1,8,7,,
94,1,8,8,,
95,1,8,9,,
96,1,8,10,,
97,1,8,11,,
98,1,8,12,,
99,1,8,13,,
100,2,4,4,,
101,2,4,5,,
102,2,4,6,,
103,2,4,7,,
104,2,4,8,,
105,2,4,9,,
106,2,4,10,,
107,2,4,11,,
108,2,4,12,,
109,2,4,13,,
110,2,5,4,,
111,2,5,5,,
112,2,5,6,,
113,2,5,7,,
114,2,5,8,,
115,2,5,9,,
116,2,5,10,,
117,2,5,11,,
118,2,5,12,,
119,2,5,13,,
120,2,6,4,,
121,2,6,5,,
122,2,6,6,,
123,2,6,7,,
124,2,6,8,,
125,2,6,9,,
126,2,6,10,,
127,2,6,11,,
128,2,6,12,,
129,2,6,13,,
130,2,7,4,,
131,2,7,5,,
132,2,7,6,,
133,2,7,7,,
134,2,7,8,,
135,2,7,9,,
136,2,7,10,,
137,2,7,11,,
138,2,7,12,,
139,2,7,13,,
140,2,8,4,,
141,2,8,5,,
142,2,8,6,,
143,2,8,7,,
144,2,8,8,,
145,2,8,9,,
146,2,8,10,,
147,2,8,11,,
148,2,8,12,,
149,2,8,13,,
150,3,4,4,,
151,3,4,5,,
152,3,4,6,,
153,3,4,7,,
154,3,4,8,,
155,3,4,9,,
156,3,4,10,,
157,3,4,11,,
158,3,4,12,,
159,3,4,13,,
160,3,5,4,,
161,3,5,5,,
162,3,5,6,,
163,3,5,7,,
164,3,5,8,,
165,3,5,9,,
166,3,5,10,,
167,3,5,11,,
168,3,5,12,,
169,3,5,13,,
170,3,6,4,,
171,3,6,5,,
172,3,6,6,,
173,3,6,7,,
174,3,6,8,,
175,3,6,9,,
176,3,6,10,,
177,3,6,11,,
178,3,6,12,,
179,3,6,13,,
180,3,7,4,,
181,3,7,5,,
182,3,7,6,,
183,3,7,7,,
184,3,7,8,,
185,3,7,9,,
186,3,7,10,,
187,3,7,11,,
188,3,7,12,,
189,3,7,13,,
190,3,8,4,,
191,3,8,5,,
192,3,8,6,,
193,3,8,7,,
194,3,8,8,,
195,3,8,9,,
196,3,8,10,,
197,3,8,11,,
198,3,8,12,,
199,3,8,13,,
200,4,4,4,,
201,4,4,5,,
202,4,4,6,,
203,4,4,7,,
204,4,4,8,,
205,4,4,9,,
206,4,4,10,,
207,4,4,11,,
208,4,4,12,,
209,4,4,13,,
210,4,5,4,,
211,4,5,5,,
212,4,5,6,,
213,4,5,7,,
214,4,5,8,,
215,4,5,9,,
216,4,5,10,,
217,4,5,11,,
218,4,5,12,,
219,4,5,13,,
220,4,6,4,,
221,4,6,5,,
222,4,6,6,,
223,4,6,7,,
224,4,6,8,,
225,4,6,9,,
226,4,6,10,,
227,4,6,11,,
228,4,6,12,,
229,4,6,13,,
230,4,7,4,,
231,4,7,5,,
232,4,7,6,,
233,4,7,7,,
234,4,7,8,,
235,4,7,9,,
236,4,7,10,,
237,4,7,11,,
238,4,7,12,,
239,4,7,13,,
240,4,8,4,,
241,4,8,5,,
242,4,8,6,,
243,4,8,7,,
244,4,8,8,,
245,4,8,9,,
246,4,8,10,,
247,4,8,11,,
248,4,8,12,,
249,4,8,13,,
250,5,4,4,,
251,5,4,5,,
252,5,4,6,,
253,5,4,7,,
254,5,4,8,,
255,5,4,9,,
256,5,4,10,,
257,5,4,11,,
258,5,4,12,,
259,5,4,13,,
260,5,5,4,,
261,5,5,5,,
262,5,5,6,,
263,5,5,7,,
264,5,5,8,,
265,5,5,9,,
266,5,5,10,,
267,5,5,11,,
268,5,5,12,,
269,5,5,13,,
270,5,6,4,,
271,5,6,5,,
272,5,6,6,,
273,5,6,7,,
274,5,6,8,,
275,5,6,9,,
276,5,6,10,,
277,5,6,11,,
278,5,6,12,,
279,5,6,13,,
280,5,7,4,,
281,5,7,5,,
282,5,7,6,,
283,5,7,7,,
284,5,7,8,,
285,5,7,9,,
286,5,7,10,,
287,5,7,11,,
288,5,7,12,,
289,5,7,13,,
290,5,8,4,,
291,5,8,5,,
292,5,8,6,,
293,5,8,7,,
294,5,8,8,,
295,5,8,9,,
296,5,8,10,,
297,5,8,11,,
298,5,8,12,,
299,5,8,13,,
300,6,4,4,,
301,6,4,5,,
302,6,4,6,,
303,6,4,7,,
304,6,4,8,,
305,6,4,9,,
306,6,4,10,,
307,6,4,11,,
308,6,4,12,,
309,6,4,13,,
310,6,5,4,,
311,6,5,5,,
312,6,5,6,,
313,6,5,7,,
314,6,5,8,,
315,6,5,9,,
316,6,5,10,,
317,6,5,11,,
318,6,5,12,,
319,6,5,13,,
320,6,6,4,,
321,6,6,5,,
322,6,6,6,,
323,6,6,7,,
324,6,6,8,,
325,6,6,9,,
326,6,6,10,,
327,6,6,11,,
328,6,6,12,,
329,6,6,13,,
330,6,7,4,,
331,6,7,5,,
332,6,7,6,,
333,6,7,7,,
334,6,7,8,,
335,6,7,9,,
336,6,7,10,,
337,6,7,11,,
338,6,7,12,,
339,6,7,13,,
340,6,8,4,,
341,6,8,5,,
342,6,8,6,,
343,6,8,7,,
344,6,8,8,,
345,6,8,9,,
346,6,8,10,,
347,6,8,11,,
348,6,8,12,,
349,6,8,13,,
350,7,4,4,,
351,7,4,5,,
352,7,4,6,,
353,7,4,7,,
354,7,4,8,,
355,7,4,9,,
356,7,4,10,,
357,7,4,11,,
358,7,4,12,,
359,7,4,13,,
360,7,5,4,,
361,7,5,5,,
362,7,5,6,,
363,7,5,7,,
364,7,5,8,,
365,7,5,9,,
366,7,5,10,,
367,7,5,11,,
368,7,5,12,,
369,7,5,13,,
370,7,6,4,,
371,7,6,5,,
372,7,6,6,,
373,7,6,7,,
374,7,6,8,,
375,7,6,9,,
376,7,6,10,,
377,7,6,11,,
378,7,6,12,,
379,7,6,13,,
380,7,7,4,,
381,7,7,5,,
382,7,7,6,,
383,7,7,7,,
384,7,7,8,,
385,7,7,9,,
386,7,7,10,,
387,7,7,11,,
388,7,7,12,,
389,7,7,13,,
390,7,8,4,,
391,7,8,5,,
392,7,8,6,,
393,7,8,7,,
394,7,8,8,,
395,7,8,9,,
396,7,8,10,,
397,7,8,11,,
398,7,8,12,,
399,7,8,13,,
400,8,4,4,,
401,8,4,5,,
402,8,4,6,,
403,8,4,7,,
404,8,4,8,,
405,8,4,9,,
406,8,4,10,,
407,8,4,11,,
408,8,4,12,,
409,8,4,13,,
410,8,5,4,,
411,8,5,5,,
412,8,5,6,,
413,8,5,7,,
414,8,5,8,,
415,8,5,9,,
416,8,5,10,,
417,8,5,11,,
418,8,5,12,,
419,8,5,13,,
420,8,6,4,,
421,8,6,5,,
422,8,6,6,,
423,8,6,7,,
424,8,6,8,,
425,8,6,9,,
426,8,6,10,,
427,8,6,11,,
428,8,6,12,,
429,8,6,13,,
430,8,7,4,,
431,8,7,5,,
432,8,7,6,,
433,8,7,7,,
434,8,7,8,,
435,8,7,9,,
436,8,7,10,,
437,8,7,11,,
438,8,7,12,,
439,8,7,13,,
440,8,8,4,,
441,8,8,5,,
442,8,8,6,,
443,8,8,7,,
444,8,8,8,,
445,8,8,9,,
446,8,8,10,,
447,8,8,11,,
448,8,8,12,,
449,8,8,13,,
450,9,4,4,,
451,9,4,5,,
452,9,4,6,,
453,9,4,7,,
454,9,4,8,,
455,9,4,9,,
456,9,4,10,,
457,9,4,11,,
458,9,4,12,,
459,9,4,13,,
460,9,5,4,,
461,9,5,5,,
462,9,5,6,,
463,9,5,7,,
464,9,5,8,,
465,9,5,9,,
466,9,5,10,,
467,9,5,11,,
468,9,5,12,,
469,9,5,13,,
470,9,6,4,,
471,9,6,5,,
472,9,6,6,,
473,9,6,7,,
474,9,6,8,,
475,9,6,9,,
476,9,6,10,,
477,9,6,11,,
478,9,6,12,,
479,9,6,13,,
480,9,7,4,,
481,9,7,5,,
482,9,7,6,,
483,9,7,7,,
484,9,7,8,,
485,9,7,9,,
486,9,7,10,,
487,9,7,11,,
488,9,7,12,,
489,9,7,13,,
490,9,8,4,,
491,9,8,5,,
492,9,8,6,,
493,9,8,7,,
494,9,8,8,,
495,9,8,9,,
496,9,8,10,,
497,9,8,11,,
498,9,8,12,,
499,9,8,13,,
